UF,Cidade,Índice
GO,Santa Helena de Goiás,"4,30"
SP,Serrana,"4,30"
TO,Angico,"4,16"
TO,Axixá do Tocantins,"4,16"
RJ,Barra do Piraí,"4,16"
TO,Barrolândia,"4,16"
TO,Bernardo Sayão,"4,16"
MS,Douradina,"4,16"
RS,General Câmara,"4,16"
SP,Iracemápolis,"4,16"
RN,Lagoa Nova,"4,16"
BA,Macururé,"4,16"
ES,Montanha,"4,16"
GO,Novo Brasil,"4,16"
PE,Paranatama,"4,16"
RJ,Rio Bonito,"4,16"
SP,Sarutaiá,"4,16"
RS,Antônio Prado,"4,02"
MT,Apiacás,"4,02"
PE,Arcoverde,"4,02"
SP,Avaré,"4,02"
SP,Braúna,"4,02"
MT,Campinápolis,"4,02"
SP,Campinas,"4,02"
MT,Campos de Júlio,"4,02"
PR,Foz do Iguaçu,"4,02"
MT,Itiquira,"4,02"
MT,Nova Bandeirantes,"4,02"
MT,Nova Monte Verde,"4,02"
MT,Nova Olímpia,"4,02"
SP,Pederneiras,"4,02"
MT,Porto dos Gaúchos,"4,02"
MT,Santa Cruz do Xingu,"4,02"
RJ,São João de Meriti,"4,02"
CE,São Luís do Curu,"4,02"
MT,Tapurah,"4,02"
CE,Alcântaras,"3,88"
MA,Altamira do Maranhão,"3,88"
MG,Alvinópolis,"3,88"
SC,Balneário Barra do Sul,"3,88"
MA,Bela Vista do Maranhão,"3,88"
MA,Buriti Bravo,"3,88"
MG,Caeté,"3,88"
PB,Campina Grande,"3,88"
MA,Chapadinha,"3,88"
TO,Colinas do Tocantins,"3,88"
TO,Crixás do Tocantins,"3,88"
AM,Envira,"3,88"
MG,Ferros,"3,88"
MG,Guaxupé,"3,88"
BA,Ibotirama,"3,88"
ES,Itarana,"3,88"
GO,Jussara,"3,88"
RN,Luís Gomes,"3,88"
GO,Matrinchã,"3,88"
SP,Meridiano,"3,88"
RS,Não-Me-Toque,"3,88"
MA,Olinda Nova do Maranhão,"3,88"
MA,Pedreiras,"3,88"
RO,Pimenteiras do Oeste,"3,88"
TO,Ponte Alta do Tocantins,"3,88"
RJ,Quatis,"3,88"
RJ,Queimados,"3,88"
RJ,Rio Claro,"3,88"
TO,Rio Sono,"3,88"
PE,Salgueiro,"3,88"
SC,Santiago do Sul,"3,88"
MA,São Domingos do Maranhão,"3,88"
MG,São Gonçalo do Rio Abaixo,"3,88"
MA,Serrano do Maranhão,"3,88"
AL,Tanque d'Arca,"3,88"
PE,Bom Jardim,"3,75"
RO,Cacoal,"3,75"
PE,Chã Grande,"3,75"
PE,Iati,"3,75"
RS,Imigrante,"3,75"
MG,Santa Bárbara,"3,75"
MT,São Pedro da Cipa,"3,75"
CE,Acaraú,"3,61"
RN,Angicos,"3,61"
SC,Araquari,"3,61"
SP,Brejo Alegre,"3,61"
PB,Cacimbas,"3,61"
RO,Colorado do Oeste,"3,61"
SE,Feira Nova,"3,61"
PB,Guarabira,"3,61"
SP,Guaraci,"3,61"
MT,Itaúba,"3,61"
CE,Jijoca de Jericoacoara,"3,61"
PR,Lapa,"3,61"
MG,Mariana,"3,61"
SP,Mendonça,"3,61"
PB,Monteiro,"3,61"
RJ,Porciúncula,"3,61"
RN,Santa Cruz,"3,61"
PB,São Bento,"3,61"
AL,São José da Tapera,"3,61"
PB,São Vicente do Seridó,"3,61"
MA,Senador La Rocque,"3,61"
PE,Solidão,"3,61"
PA,Tucumã,"3,61"
MG,Uberlândia,"3,61"
PR,União da Vitória,"3,61"
PI,Vila Nova do Piauí,"3,61"
SE,Aracaju²,"3,47"
PB,Baía da Traição,"3,47"
MT,Bom Jesus do Araguaia,"3,47"
RS,Butiá,"3,47"
RO,Cerejeiras,"3,47"
RS,Entre Rios do Sul,"3,47"
MS,Guia Lopes da Laguna,"3,47"
SP,Ibirarema,"3,47"
SP,Mairinque,"3,47"
RS,Monte Belo do Sul,"3,47"
GO,Mozarlândia,"3,47"
MA,Santa Helena,"3,47"
BA,Saubara,"3,47"
RN,Serra Caiada,"3,47"
RS,Sobradinho,"3,47"
PB,Tacima,"3,47"
MG,Abre Campo,"3,33"
RO,Alto Alegre dos Parecis,"3,33"
PI,Amarante,"3,33"
GO,Aparecida de Goiânia,"3,33"
CE,Aquiraz,"3,33"
MG,Argirita,"3,33"
TO,Arraias,"3,33"
PA,Aurora do Pará,"3,33"
MS,Bandeirantes,"3,33"
RJ,Belford Roxo,"3,33"
GO,Bom Jardim de Goiás,"3,33"
MA,Bom Lugar,"3,33"
MG,Brazópolis,"3,33"
SP,Brotas,"3,33"
RO,Buritis,"3,33"
PI,Cajueiro da Praia,"3,33"
PI,Campinas do Piauí,"3,33"
PI,Campo Alegre do Fidalgo,"3,33"
SC,Campo Belo do Sul,"3,33"
RJ,Campos dos Goytacazes,"3,33"
SC,Canoinhas,"3,33"
CE,Capistrano,"3,33"
PI,Caracol,"3,33"
AM,Carauari,"3,33"
PI,Caridade do Piauí,"3,33"
RS,Carlos Gomes,"3,33"
GO,Carmo do Rio Verde,"3,33"
TO,Carmolândia,"3,33"
SE,Carmópolis,"3,33"
RO,Castanheiras,"3,33"
GO,Caturaí,"3,33"
PE,Cedro,"3,33"
GO,Ceres,"3,33"
BA,Cordeiros,"3,33"
PI,Corrente,"3,33"
BA,Crisópolis,"3,33"
SP,Cubatão,"3,33"
PA,Curuá,"3,33"
PR,Diamante do Sul,"3,33"
MT,Diamantino,"3,33"
RS,Dona Francisca,"3,33"
PE,Dormentes,"3,33"
SP,Embaúba,"3,33"
PI,Esperantina,"3,33"
RS,Esteio,"3,33"
SP,Estrela do Norte,"3,33"
SC,Faxinal dos Guedes,"3,33"
GO,Flores de Goiás,"3,33"
CE,Graça,"3,33"
SE,Gracho Cardoso,"3,33"
PI,Guadalupe,"3,33"
SP,Guará,"3,33"
RS,Guarani das Missões,"3,33"
SP,Guariba,"3,33"
GO,Hidrolina,"3,33"
CE,Horizonte,"3,33"
SC,Içara,"3,33"
PR,Iguaraçu,"3,33"
CE,Iguatu,"3,33"
CE,Independência,"3,33"
CE,Ipaumirim,"3,33"
PI,Ipiranga do Piauí,"3,33"
PI,Itainópolis,"3,33"
PR,Itaperuçu,"3,33"
PI,Itaueira,"3,33"
PR,Jardim Alegre,"3,33"
PI,Jatobá do Piauí,"3,33"
PI,Joca Marques,"3,33"
CE,Jucás,"3,33"
PI,Madeiro,"3,33"
AL,Major Isidoro,"3,33"
PR,Mandaguaçu,"3,33"
PI,Manoel Emídio,"3,33"
ES,Mantenópolis,"3,33"
ES,Marataízes,"3,33"
RJ,Maricá,"3,33"
SP,Marinópolis,"3,33"
CE,Mauriti,"3,33"
CE,Milhã,"3,33"
PI,Milton Brandão,"3,33"
SP,Monte Castelo,"3,33"
TO,Monte do Carmo,"3,33"
GO,Montividiu do Norte,"3,33"
TO,Natividade,"3,33"
MS,Nioaque,"3,33"
RJ,Nova Friburgo,"3,33"
CE,Novo Oriente,"3,33"
SC,Paial,"3,33"
SP,Palmeira d'Oeste,"3,33"
AL,Palmeira dos Índios,"3,33"
MS,Paraíso das Aguas,"3,33"
SP,Patrocínio Paulista,"3,33"
MG,Pedras de Maria da Cruz,"3,33"
PI,Porto Alegre do Piauí,"3,33"
RJ,Porto Real,"3,33"
PR,Pranchita,"3,33"
SP,Presidente Alves,"3,33"
MA,Presidente Dutra,"3,33"
PI,Regeneração,"3,33"
CE,Reriutaba,"3,33"
BA,Retirolândia,"3,33"
BA,Riachão do Jacuípe,"3,33"
PI,Ribeira do Piauí,"3,33"
SP,Ribeirão dos Índios,"3,33"
TO,Rio dos Bois,"3,33"
GO,Rio Quente,"3,33"
MA,Rosário,"3,33"
SE,Rosário do Catete,"3,33"
TO,Sandolândia,"3,33"
PA,Santa Bárbara do Pará,"3,33"
BA,Santa Cruz Cabrália,"3,33"
PE,Santa Filomena,"3,33"
PI,Santo Antônio de Lisboa,"3,33"
SE,São Cristóvão,"3,33"
SE,São Domingos,"3,33"
SE,São Francisco,"3,33"
PI,São Francisco do Piauí,"3,33"
MS,São Gabriel do Oeste,"3,33"
RS,São Jerônimo,"3,33"
MG,São João do Oriente,"3,33"
MA,São José de Ribamar,"3,33"
GO,São Miguel do Passa Quatro,"3,33"
PI,São Raimundo Nonato,"3,33"
CE,Senador Pompeu,"3,33"
AM,Silves,"3,33"
SC,Tangará,"3,33"
GO,Terezópolis de Goiás,"3,33"
RO,Theobroma,"3,33"
SC,Timbó Grande,"3,33"
CE,Tururu,"3,33"
GO,Turvelândia,"3,33"
CE,Umari,"3,33"
RO,Urupá,"3,33"
RO,Vale do Anari,"3,33"
PI,Várzea Branca,"3,33"
PI,Várzea Grande,"3,33"
SP,Vera Cruz,"3,33"
PI,Vera Mendes,"3,33"
SP,Viradouro,"3,33"
BA,Xique-Xique,"3,33"
MA,Alcântara,"3,19"
PE,Camocim de São Félix,"3,19"
PB,Catingueira,"3,19"
PE,Cortês,"3,19"
SP,Iacri,"3,19"
MT,Marcelândia,"3,19"
PE,Orobó,"3,19"
SP,Pontal,"3,19"
PR,Quinta do Sol,"3,19"
SC,São José,"3,19"
PE,Vertentes,"3,19"
RS,Westfalia,"3,19"
TO,Couto de Magalhães,"3,06"
CE,Barbalha,"3,05"
RN,Bodó,"3,05"
TO,Brejinho de Nazaré,"3,05"
GO,Buritinópolis,"3,05"
PE,Calçado,"3,05"
RN,Campo Redondo,"3,05"
PB,Carrapateira,"3,05"
SE,Cedro de São João,"3,05"
CE,Crateús,"3,05"
PE,Exu,"3,05"
MG,Felixlândia,"3,05"
CE,Frecheirinha,"3,05"
SP,Guaimbê,"3,05"
MG,Guidoval,"3,05"
PE,Ingazeira,"3,05"
PA,Irituia,"3,05"
SP,Itaporanga,"3,05"
AL,Jacaré dos Homens,"3,05"
SP,Juquiá,"3,05"
PE,Lagoa Grande,"3,05"
CE,Madalena,"3,05"
PI,Miguel Alves,"3,05"
GO,Niquelândia,"3,05"
PR,Paraíso do Norte,"3,05"
BA,Paramirim,"3,05"
PB,Patos,"3,05"
SP,Pedreira,"3,05"
TO,Pindorama do Tocantins,"3,05"
TO,Presidente Kennedy,"3,05"
BA,Quijingue,"3,05"
SP,Regente Feijó,"3,05"
RR,Rorainópolis,"3,05"
BA,Santa Bárbara,"3,05"
SP,Santa Gertrudes,"3,05"
RS,Santana da Boa Vista,"3,05"
MG,São João do Pacuí,"3,05"
SP,São Sebastião da Grama,"3,05"
RJ,São Sebastião do Alto,"3,05"
SP,Sertãozinho,"3,05"
CE,Tamboril,"3,05"
BA,Tanque Novo,"3,05"
PR,Telêmaco Borba,"3,05"
PA,Trairão,"3,05"
PB,Zabelê,"3,05"
MA,Zé Doca,"3,05"
MA,Agua Doce do Maranhão,"2,91"
CE,Ibiapina,"2,91"
PE,Iguaraci,"2,91"
SP,Luís Antônio,"2,91"
BA,Porto Seguro,"2,91"
MA,São Raimundo do Doca Bezerra,"2,91"
BA,Serrolândia,"2,91"
RJ,Varre-Sai,"2,78"
MG,Acaiaca,"2,77"
PI,Alagoinha do Piauí,"2,77"
PB,Alcantil,"2,77"
MG,Alpercata,"2,77"
SP,Altair,"2,77"
PI,Alto Longá,"2,77"
PI,Altos,"2,77"
PR,Ângulo,"2,77"
SE,Aquidabã,"2,77"
SE,Arauá,"2,77"
SP,Aspásia,"2,77"
PI,Avelino Lopes,"2,77"
MG,Bandeira,"2,77"
PR,Barbosa Ferraz,"2,77"
RS,Barra do Rio Azul,"2,77"
PI,Barro Duro,"2,77"
PI,Batalha,"2,77"
AL,Batalha,"2,77"
PI,Bela Vista do Piauí,"2,77"
PB,Belém do Brejo do Cruz,"2,77"
PI,Bom Princípio do Piauí,"2,77"
PI,Boqueirão do Piauí,"2,77"
PR,Brasilândia do Sul,"2,77"
GO,Buriti Alegre,"2,77"
PR,Campina da Lagoa,"2,77"
RS,Campinas do Sul,"2,77"
MG,Carmo da Cachoeira,"2,77"
PR,Cidade Gaúcha,"2,77"
PI,Cocal dos Alves,"2,77"
MG,Comercinho,"2,77"
PA,Concórdia do Pará,"2,77"
MG,Conselheiro Lafaiete,"2,77"
GO,Córrego do Ouro,"2,77"
SE,Cristinápolis,"2,77"
SE,Cumbe,"2,77"
PA,Curralinho,"2,77"
PB,Desterro,"2,77"
RS,Encruzilhada do Sul,"2,77"
MG,Entre Folhas,"2,77"
PE,Flores,"2,77"
MG,Funilândia,"2,77"
BA,Gentio do Ouro,"2,77"
PR,Grandes Rios,"2,77"
CE,Groaíras,"2,77"
PR,Guapirama,"2,77"
GO,Iaciara,"2,77"
PR,Iguatu,"2,77"
PR,Imbituva,"2,77"
GO,Indiara,"2,77"
SE,Itabaianinha,"2,77"
GO,Itaberaí,"2,77"
RJ,Itaguaí,"2,77"
AM,Itamarati,"2,77"
BA,Itamari,"2,77"
MG,Itanhandu,"2,77"
SP,Itobi,"2,77"
RS,Jaguari,"2,77"
RN,Janduís,"2,77"
AL,Jaramataia,"2,77"
PI,Jerumenha,"2,77"
BA,João Dourado,"2,77"
MG,Ladainha,"2,77"
GO,Lagoa Santa,"2,77"
RS,Liberato Salzano,"2,77"
PR,Lunardelli,"2,77"
SE,Malhador,"2,77"
AM,Manacapuru,"2,77"
AL,Marechal Deodoro,"2,77"
PA,Marituba,"2,77"
PB,Mato Grosso,"2,77"
PA,Medicilândia,"2,77"
PI,Monsenhor Hipólito,"2,77"
SE,Monte Alegre de Sergipe,"2,77"
RR,Mucajaí,"2,77"
SE,Muribeca,"2,77"
PI,Nazaré do Piauí,"2,77"
PI,Nossa Senhora de Nazaré,"2,77"
MG,Nova Era,"2,77"
PR,Nova Esperança,"2,77"
PI,Novo Oriente do Piauí,"2,77"
PI,Novo Santo Antônio,"2,77"
PI,Olho D'Agua do Piauí,"2,77"
PR,Ourizona,"2,77"
PI,Paes Landim,"2,77"
TO,Pau D'Arco,"2,77"
PI,Paulistana,"2,77"
RS,Paulo Bento,"2,77"
PE,Pedra,"2,77"
PI,Pio IX,"2,77"
GO,Piranhas,"2,77"
SE,Poço Redondo,"2,77"
PI,Porto,"2,77"
MG,Pratápolis,"2,77"
PR,Quarto Centenário,"2,77"
PI,Queimada Nova,"2,77"
PI,Redenção do Gurguéia,"2,77"
PR,Rio Bonito do Iguaçu,"2,77"
SP,Rio Claro,"2,77"
SC,Rio do Oeste,"2,77"
PR,Sabáudia,"2,77"
PR,Santa Cecília do Pavão,"2,77"
PB,Santa Teresinha,"2,77"
MG,Santana do Manhuaçu,"2,77"
MG,São Geraldo do Baixio,"2,77"
PI,São Gonçalo do Gurguéia,"2,77"
RR,São Luiz,"2,77"
AL,São Miguel dos Milagres,"2,77"
SP,São Pedro,"2,77"
SP,São Simão,"2,77"
RS,São Vicente do Sul,"2,77"
PR,Serranópolis do Iguaçu,"2,77"
RJ,Silva Jardim,"2,77"
TO,Silvanópolis,"2,77"
SP,Tapiraí,"2,77"
AL,Teotônio Vilela,"2,77"
RJ,Teresópolis,"2,77"
GO,Aurilândia,"2,63"
PE,Ipojuca,"2,63"
MT,Tesouro,"2,63"
MG,Amparo do Serra,"2,50"
SP,Arapeí,"2,50"
RN,Augusto Severo,"2,50"
MG,Bambuí,"2,50"
SP,Barra do Chapéu,"2,50"
CE,Bela Cruz,"2,50"
PA,Belterra,"2,50"
AM,Beruri,"2,50"
AL,Branquinha,"2,50"
AL,Campestre,"2,50"
RS,Campina das Missões,"2,50"
RS,Candelária,"2,50"
PR,Candói,"2,50"
CE,Catunda,"2,50"
BA,Caturama,"2,50"
TO,Colméia,"2,50"
RO,Corumbiara,"2,50"
TO,Dois Irmãos do Tocantins,"2,50"
PI,Domingos Mourão,"2,50"
MG,Dores de Campos,"2,50"
PA,Eldorado dos Carajás,"2,50"
SE,General Maynard,"2,50"
RS,Hulha Negra,"2,50"
BA,Itaju do Colônia,"2,50"
AM,Itapiranga,"2,50"
AP,Itaubal,"2,50"
PA,Itupiranga,"2,50"
RS,Jaquirana,"2,50"
GO,Jaupaci,"2,50"
MT,Jauru,"2,50"
RJ,Laje do Muriaé,"2,50"
BA,Muniz Ferreira,"2,50"
SP,Nipoã,"2,50"
RO,Nova Brasilândia D'Oeste,"2,50"
SP,Novais,"2,50"
MG,Palmópolis,"2,50"
RS,Paraíso do Sul,"2,50"
PB,Parari,"2,50"
SC,Passo de Torres,"2,50"
MG,Pedrinópolis,"2,50"
SP,Piquete,"2,50"
PR,Piraí do Sul,"2,50"
RS,Pirapó,"2,50"
PI,Piripiri,"2,50"
AL,Porto Real do Colégio,"2,50"
BA,Presidente Dutra,"2,50"
AL,Quebrangulo,"2,50"
PA,Rio Maria,"2,50"
BA,Rodelas,"2,50"
MG,Rubelita,"2,50"
PE,Santa Cruz,"2,50"
PA,Santa Isabel do Pará,"2,50"
BA,São Desidério,"2,50"
SP,São Joaquim da Barra,"2,50"
RS,São Jorge,"2,50"
BA,São José da Vitória,"2,50"
SE,São Miguel do Aleixo,"2,50"
MG,Senhora dos Remédios,"2,50"
PR,Siqueira Campos,"2,50"
PE,Terezinha,"2,50"
SC,Treze de Maio,"2,50"
PA,Tucuruí,"2,50"
RS,Turuçu,"2,50"
RN,Upanema,"2,50"
RS,Alto Alegre,"2,22"
PR,Anahy,"2,22"
SP,Angatuba,"2,22"
RJ,Aperibé,"2,22"
RS,Bagé,"2,22"
TO,Bom Jesus do Tocantins,"2,22"
BA,Buritirama,"2,22"
PA,Cachoeira do Piriá,"2,22"
PB,Caiçara,"2,22"
PR,Campo Mourão,"2,22"
PR,Carambeí,"2,22"
MG,Córrego do Bom Jesus,"2,22"
SP,Dobrada,"2,22"
MG,Heliodora,"2,22"
BA,Ibicaraí,"2,22"
ES,Ibiraçu,"2,22"
BA,Ipecaetá,"2,22"
RJ,Itaboraí,"2,22"
PR,Jacarezinho,"2,22"
AL,Jacuípe,"2,22"
PI,Monsenhor Gil,"2,22"
MG,Munhoz,"2,22"
CE,Nova Russas,"2,22"
PA,Novo Progresso,"2,22"
ES,Pinheiros,"2,22"
BA,Queimadas,"2,22"
AL,Rio Largo,"2,22"
GO,Sanclerlândia,"2,22"
PE,Santa Cruz do Capibaribe,"2,22"
AM,São Paulo de Olivença,"2,22"
PE,Surubim,"2,22"
AL,Taquarana,"2,22"
RN,Tenente Ananias,"2,22"
MA,Trizidela do Vale,"2,22"
RS,Vista Alegre do Prata,"2,22"
PE,Altinho,"2,08"
MS,Camapuã,"2,08"
MT,Castanheira,"2,08"
SC,Florianópolis²,"2,08"
BA,Jussari,"2,08"
SP,Mirandópolis,"2,08"
BA,Nova Ibiá,"2,08"
MT,Nova Marilândia,"2,08"
MG,Paraisópolis,"2,08"
MT,Ribeirão Cascalheira,"2,08"
PR,Rio Negro,"2,08"
MT,São José do Povo,"2,08"
RS,Selbach,"2,08"
MT,Várzea Grande,"2,08"
MA,Vitorino Freire,"2,08"
GO,Abadiânia,"1,94"
TO,Abreulândia,"1,94"
CE,Acarape,"1,94"
MG,Albertina,"1,94"
PA,Alenquer,"1,94"
CE,Altaneira,"1,94"
RR,Alto Alegre,"1,94"
RO,Alto Paraíso,"1,94"
AM,Alvarães,"1,94"
RR,Amajari,"1,94"
AM,Anamã,"1,94"
MS,Angélica,"1,94"
GO,Anhanguera,"1,94"
GO,Anicuns,"1,94"
GO,Aragoiânia,"1,94"
TO,Araguanã,"1,94"
TO,Arapoema,"1,94"
CE,Ararendá,"1,94"
RN,Arês,"1,94"
SC,Armazém,"1,94"
AC,Assis Brasil,"1,94"
AL,Atalaia,"1,94"
RS,Augusto Pestana,"1,94"
SP,Avaí,"1,94"
BA,Baixa Grande,"1,94"
AL,Barra de São Miguel,"1,94"
RS,Barra do Guarita,"1,94"
AL,Belém,"1,94"
PE,Belém de Maria,"1,94"
PE,Belém de São Francisco,"1,94"
PI,Bertolínia,"1,94"
AM,Boa Vista do Ramos,"1,94"
ES,Bom Jesus do Norte,"1,94"
PA,Bom Jesus do Tocantins,"1,94"
PR,Bom Sucesso,"1,94"
AM,Borba,"1,94"
SE,Brejo Grande,"1,94"
BA,Brejolândia,"1,94"
GO,Britânia,"1,94"
AC,Bujari,"1,94"
GO,Cachoeira de Goiás,"1,94"
TO,Cachoeirinha,"1,94"
RS,Caiçara,"1,94"
AP,Calçoene,"1,94"
GO,Campinorte,"1,94"
SE,Canhoba,"1,94"
MG,Cantagalo,"1,94"
AM,Canutama,"1,94"
RS,Capão do Leão,"1,94"
BA,Capela do Alto Alegre,"1,94"
SC,Capivari de Baixo,"1,94"
PI,Caraúbas do Piauí,"1,94"
AM,Careiro,"1,94"
BA,Catu,"1,94"
MG,Chapada do Norte,"1,94"
AM,Codajás,"1,94"
MT,Colniza,"1,94"
MG,Coluna,"1,94"
MG,Conceição da Barra de Minas,"1,94"
TO,Conceição do Tocantins,"1,94"
MA,Coroatá,"1,94"
RO,Costa Marques,"1,94"
TO,Cristalândia,"1,94"
PI,Cristalândia do Piauí,"1,94"
GO,Cristalina,"1,94"
BA,Cruz das Almas,"1,94"
PB,Cruz do Espírito Santo,"1,94"
AC,Cruzeiro do Sul,"1,94"
PI,Curralinhos,"1,94"
TO,Darcinópolis,"1,94"
SC,Dionísio Cerqueira,"1,94"
GO,Divinópolis de Goiás,"1,94"
TO,Divinópolis do Tocantins,"1,94"
MG,Dores de Guanhães,"1,94"
AM,Eirunepé,"1,94"
AC,Epitaciolândia,"1,94"
GO,Estrela do Norte,"1,94"
RN,Extremoz,"1,94"
GO,Faina,"1,94"
MS,Fátima do Sul,"1,94"
AL,Feliz Deserto,"1,94"
AP,Ferreira Gomes,"1,94"
SP,Florínia,"1,94"
AM,Fonte Boa,"1,94"
GO,Gameleira de Goiás,"1,94"
MG,Gameleiras,"1,94"
SP,General Salgado,"1,94"
PE,Glória do Goitá,"1,94"
MG,Goiabeira,"1,94"
RO,Governador Jorge Teixeira,"1,94"
MG,Grupiara,"1,94"
CE,Guaraciaba do Norte,"1,94"
MG,Guarará,"1,94"
RJ,Iguaba Grande,"1,94"
BA,Iguaí,"1,94"
MG,Ijaci,"1,94"
PI,Ilha Grande,"1,94"
AM,Ipixuna,"1,94"
GO,Iporá,"1,94"
AM,Iranduba,"1,94"
PI,Isaías Coelho,"1,94"
TO,Itaguatins,"1,94"
MS,Ivinhema,"1,94"
GO,Ivolândia,"1,94"
PR,Jandaia do Sul,"1,94"
SE,Japoatã,"1,94"
MS,Jardim,"1,94"
PI,João Costa,"1,94"
AC,Jordão,"1,94"
SP,José Bonifácio,"1,94"
AM,Juruá,"1,94"
AM,Jutaí,"1,94"
AM,Lábrea,"1,94"
MA,Lago da Pedra,"1,94"
AL,Lagoa da Canoa,"1,94"
PE,Lagoa do Itaenga,"1,94"
SP,Lavrinhas,"1,94"
PE,Limoeiro,"1,94"
AL,Limoeiro de Anadia,"1,94"
PI,Luzilândia,"1,94"
SC,Major Gercino,"1,94"
SE,Malhada dos Bois,"1,94"
GO,Mambaí,"1,94"
AC,Mâncio Lima,"1,94"
AM,Manicoré,"1,94"
PE,Maraial,"1,94"
TO,Marianópolis do Tocantins,"1,94"
MG,Mata Verde,"1,94"
MA,Matões do Norte,"1,94"
AM,Maués,"1,94"
AP,Mazagão,"1,94"
TO,Miranorte,"1,94"
CE,Missão Velha,"1,94"
GO,Moiporá,"1,94"
SC,Mondaí,"1,94"
RN,Mossoró,"1,94"
GO,Mundo Novo,"1,94"
MG,Mutum,"1,94"
TO,Nazaré,"1,94"
RJ,Nilópolis,"1,94"
RR,Normandia,"1,94"
SE,Nossa Senhora da Glória,"1,94"
GO,Nova América,"1,94"
MT,Nova Guarita,"1,94"
AM,Nova Olinda do Norte,"1,94"
PR,Nova Prata do Iguaçu,"1,94"
RO,Nova União,"1,94"
TO,Novo Acordo,"1,94"
AM,Novo Airão,"1,94"
AM,Novo Aripuanã,"1,94"
MG,Novo Oriente de Minas,"1,94"
MT,Novo Santo Antônio,"1,94"
TO,Oliveira de Fátima,"1,94"
AL,Olivença,"1,94"
MG,Orizânia,"1,94"
TO,Paraíso do Tocantins,"1,94"
RJ,Parati,"1,94"
RO,Parecis,"1,94"
AM,Parintins,"1,94"
PE,Parnamirim,"1,94"
PA,Pau D'Arco,"1,94"
PE,Paudalho,"1,94"
AM,Pauini,"1,94"
AP,Pedra Branca do Amapari,"1,94"
SC,Pedras Grandes,"1,94"
MA,Peritoró,"1,94"
PI,Picos,"1,94"
RN,Pilões,"1,94"
RO,Pimenta Bueno,"1,94"
RJ,Pinheiral,"1,94"
MA,Pirapemas,"1,94"
SP,Planalto,"1,94"
MT,Porto Esperidião,"1,94"
TO,Porto Nacional,"1,94"
AC,Porto Walter,"1,94"
MT,Poxoréo,"1,94"
MA,Presidente Sarney,"1,94"
PR,Quedas do Iguaçu,"1,94"
RN,Rafael Godeiro,"1,94"
PR,Realeza,"1,94"
TO,Recursolândia,"1,94"
MG,Ressaquinha,"1,94"
RN,Riachuelo,"1,94"
PE,Ribeirão,"1,94"
SP,Ribeirão Bonito,"1,94"
AM,Rio Preto da Eva,"1,94"
AC,Rodrigues Alves,"1,94"
RO,Rolim de Moura,"1,94"
GO,Rubiataba,"1,94"
PA,Rurópolis,"1,94"
MG,Sacramento,"1,94"
PR,Salgado Filho,"1,94"
PA,Salinópolis,"1,94"
PE,Saloá,"1,94"
PR,Salto do Lontra,"1,94"
GO,Santa Cruz de Goiás,"1,94"
MG,Santa Cruz de Salinas,"1,94"
PA,Santa Cruz do Arari,"1,94"
TO,Santa Fé do Araguaia,"1,94"
GO,Santa Rita do Novo Destino,"1,94"
SP,Santa Rita d'Oeste,"1,94"
AC,Santa Rosa do Purus,"1,94"
SC,Santa Rosa do Sul,"1,94"
TO,Santa Terezinha do Tocantins,"1,94"
CE,Santana do Acaraú,"1,94"
AL,Santana do Mundaú,"1,94"
PI,Santana do Piauí,"1,94"
PA,Santarém Novo,"1,94"
PE,São Benedito do Sul,"1,94"
PI,São Braz do Piauí,"1,94"
GO,São Francisco de Goiás,"1,94"
AM,São Gabriel da Cachoeira,"1,94"
RJ,São Gonçalo,"1,94"
